NP,CLAVE,NOMBRE
319,6033100050,ESPECIALIDAD EN RELACIONES JURÍDICO LABORALES
320,6033100051,ESPECIALIDAD EN SISTEMA ACUSATORIO ADVERSARIAL
321,6033100052,ESPECIALIDAD EN SISTEMA INTEGRAL DE JUSTICIA PARA ADOLESCENTES
322,6033100053,ESPECIALIDAD EN SISTEMAS PENITENCIARIOS Y MENORES INFRACTORES
323,6033100054,PROGRAMA ÚNICO DE ESPECIALIDADES EN DERECHO
324,6033200003,ESPECIALIDAD EN CRIMINALÍSTICA
325,6033200004,ESPECIALIDAD EN CRIMINOLOGÍA
326,6091319004,ESPECIALIDAD EN ALERGIA E INMUNOLOGÍA CLÍNICA PEDIÁTRICA
327,6051100001,ESPECIALIDAD EN BIOLOGÍA DE LA REPRODUCCIÓN HUMANA
328,6095300001,ESPECIALIDAD EN BIOQUÍMICA CLÍNICA
329,6095300002,ESPECIALIDAD EN CLÍNICA QUÍMICA
330,6051100002,ESPECIALIDAD EN GENÉTICA
331,6051300001,"ESPECIALIDAD EN CIENCIAS DEL AMBIENTE, GESTIÓN Y SUSTENTABILIDAD"
332,6071600001,ESPECIALIDAD EN DESARROLLO SUSTENTABLE
333,6051300002,ESPECIALIDAD EN DIAGNÓSTICO Y GESTIÓN AMBIENTAL
334,6051300003,ESPECIALIDAD EN ECOTECNOLOGÍA PARA EL DESARROLLO SUSTENTABLE
335,6051300004,ESPECIALIDAD EN EVALUACIÓN DE IMPACTO AMBIENTAL
336,6051300005,ESPECIALIDAD EN GESTIÓN AMBIENTAL
337,6052200001,ESPECIALIDAD EN INSTRUMENTACIÓN ANALÍTICA
338,6052200002,ESPECIALIDAD EN QUÍMICA APLICADA
